AREA_R250	
0.663246488	0.045436683
0.658276645	0.045985023
0.653306409	0.046529788
0.648335779	0.047070939
0.643364753	0.047608437
0.638393330	0.048142237
0.633421507	0.048672296
0.628449282	0.049198567
0.623476653	0.049721002
0.618503619	0.050239552
0.613530175	0.050754164
0.608556322	0.051264785
0.603582055	0.051771363
0.598607373	0.052273842
0.593632273	0.052772165
0.588656754	0.053266276
0.583680812	0.053756116
0.578704445	0.054241626
0.573727653	0.054722748
0.568750432	0.055199421
0.563772781	0.055671585
0.558794698	0.056139180
0.553816181	0.056602145
0.548837231	0.057060420
0.543857844	0.057513944
0.538878020	0.057962657
0.533897760	0.058406498
0.528917062	0.058845408
0.523935925	0.059279329
0.518954352	0.059708201
0.513972341	0.060131967
0.508989894	0.060550570
0.504007012	0.060963955
0.499023696	0.061372066
0.494039947	0.061774821
0.489055766	0.062172111
0.484071151	0.062563828
0.479086101	0.062949863
0.474100616	0.063330107
0.469114694	0.063704452
0.464128335	0.064072791
0.459141537	0.064435013
0.454154300	0.064791009
0.449166622	0.065140669
0.444178502	0.065483880
0.439189940	0.065820531
0.434200935	0.066150505
0.429211487	0.066473686
0.424221596	0.066789956
0.419231262	0.067099194
0.414240486	0.067401276
0.409249270	0.067696077
0.404257614	0.067983467
0.399265521	0.068263314
0.394272994	0.068535482
0.389280037	0.068799832
0.384286651	0.069056220
0.379292844	0.069304500
0.374298620	0.069544519
0.369303984	0.069776121
0.364308945	0.069999145
0.359313509	0.070213425
0.354317687	0.070418790
0.349321486	0.070615063
0.344324919	0.070802061
0.339327996	0.070979596
0.334330730	0.071147473
0.329333136	0.071305492
0.324335229	0.071453444
0.319337024	0.071591116
0.314338540	0.071718285
0.309339794	0.071834723
0.304340808	0.071940193
0.299341603	0.072034452
0.294342202	0.072117247
0.289342630	0.072188318
0.284342912	0.072247397
0.279343076	0.072294205
0.274343151	0.072328456
0.269343168	0.072349855
0.264343160	0.072358098
0.259343161	0.072352869
0.254343206	0.072333845
0.249343335	0.072300691
0.244343585	0.072253063
0.239343849	0.072190792
0.234344420	0.072114406
0.229345239	0.072023691
0.224346371	0.071918163
0.219347878	0.071797166
0.214349826	0.071659874
0.209352291	0.071505303
0.204355362	0.071332314
0.199359143	0.071139620
0.194363764	0.070925795
0.189369377	0.070689279
0.184376166	0.070428383
0.179384353	0.070141301
0.174394196	0.069826111
0.169405998	0.069480784
0.164420111	0.069103192
0.159436940	0.068691114
0.154456947	0.068242242
0.149480655	0.067754186
0.144508655	0.067224485
0.139541607	0.066650612
0.134580247	0.066029978
0.129625390	0.065359942
0.124677936	0.064637818
0.119738872	0.063860879
0.114809278	0.063026364
0.109890331	0.062131488
0.104983313	0.061173446
0.100089607	0.060149420
0.095210711	0.059056586
0.090347531	0.057892318
0.085502809	0.056654638
0.080678221	0.055340490
0.075876159	0.053946515
0.071099310	0.052468922
0.066350730	0.050903477
0.061633912	0.049245482
0.056952862	0.047489764
0.052312173	0.045630657
0.047717094	0.043661985
0.043173602	0.041577050
0.038688480	0.039368612
0.034269384	0.037028878
0.029927743	0.034548458
0.025679962	0.031913619
0.021541952	0.029107009
0.017539115	0.026110101
0.013705200	0.022902493
0.010082310	0.019461906
0.006719898	0.015757984
0.003748439	0.011737381
0.001440325	0.007313042
0.000156957	0.002493415
0.000186716	-0.002485316
0.001796700	-0.007197208
0.004732319	-0.011227789
0.008517543	-0.014480003
0.012838708	-0.016983242
0.017430260	-0.018963516
0.022147494	-0.020617244
0.026936360	-0.022053761
0.031776474	-0.023317512
0.036652663	-0.024424113
0.041553250	-0.025400492
0.046473933	-0.026284663
0.051406908	-0.027097023
0.056348509	-0.027856240
0.061296067	-0.028576139
0.066247754	-0.029266476
0.071202421	-0.029933702
0.076159441	-0.030581727
0.081118548	-0.031212694
0.086085006	-0.031828392
0.091048862	-0.032428485
0.096014347	-0.033014954
0.100981107	-0.033590536
0.105948566	-0.034160054
0.110916294	-0.034726930
0.115884442	-0.035289819
0.120853097	-0.035848209
0.125822344	-0.036401514
0.130792264	-0.036949084
0.135762933	-0.037490218
0.140734424	-0.038024172
0.145706802	-0.038550165
0.150680131	-0.039067395
0.155654466	-0.039575045
0.160629858	-0.040072293
0.165606352	-0.040558320
0.170583986	-0.041032326
