Time, rotorL_beta_b1, Inflow(0), Inflow(1), Inflow(2), Inflow(3), Inflow(4), Inflow(5), X_e(0), X_e(1), X_e(2), alpha(0), alpha(1), alpha(2), v_b(0), v_b(1), v_b(2), omega_b(0), omega_b(1), omega_b(2), 
0.062, -2.52485, 0.00966668, 0.000660863, -0.000141515, 0.00966423, -0.000776512, -0.000148055, -0.000369288, -9.73236e-05, -10.0067, -0.0575112, -0.668663, 0.015761, -0.0219985, -0.00624179, -0.433172, -3.48147, -22.3634, 3.2664, 
0.064, -2.39796, 0.00997019, 0.000590699, -0.00013843, 0.009968, -0.000765557, -0.000143197, -0.000403277, -0.000112566, -10.0076, -0.0658384, -0.713716, 0.0219257, -0.0226095, -0.00804259, -0.446123, -4.77144, -22.6961, 2.84936, 
0.066, -2.26923, 0.0102658, 0.00052257, -0.000126644, 0.0102638, -0.000742292, -0.000133421, -0.000437128, -0.000131185, -10.0085, -0.0765059, -0.759502, 0.027063, -0.0228766, -0.00943857, -0.457813, -5.83008, -23.0962, 2.23076, 
0.068, -2.14005, 0.0105533, 0.00045872, -0.00010692, 0.0105511, -0.000712338, -0.000115364, -0.000470223, -0.000152325, -10.0094, -0.0889828, -0.806122, 0.0308178, -0.0228889, -0.0103461, -0.468311, -6.59557, -23.5289, 1.45636, 
0.07, -2.01148, 0.0108322, 0.0004013, -8.06678e-05, 0.0108296, -0.000673139, -9.04347e-05, -0.000502151, -0.000174976, -10.0104, -0.102626, -0.853597, 0.0329319, -0.0227605, -0.010705, -0.47771, -7.01724, -23.9493, 0.578149, 
0.072, -1.88441, 0.0111025, 0.000351788, -4.97688e-05, 0.011099, -0.000622454, -6.05413e-05, -0.00053273, -0.000198026, -10.0113, -0.116707, -0.901859, 0.0332577, -0.0226035, -0.0104818, -0.486116, -7.05832, -24.3136, -0.344751, 
0.074, -1.7597, 0.011364, 0.00031111, -1.646e-05, 0.0113595, -0.000558828, -2.79813e-05, -0.000561976, -0.000220318, -10.0123, -0.130445, -0.950766, 0.0317722, -0.0225018, -0.0096793, -0.493652, -6.70419, -24.5894, -1.24614, 
0.076, -1.63835, 0.0116166, 0.000279234, 1.71346e-05, 0.011611, -0.00048197, 5.01718e-06, -0.000590027, -0.000240734, -10.0133, -0.143068, -1.00013, 0.0285873, -0.0224914, -0.00834907, -0.500445, -5.97265, -24.7646, -2.05615, 
0.078, -1.52161, 0.0118604, 0.000255636, 4.8963e-05, 0.0118535, -0.000392898, 3.62508e-05, -0.000617041, -0.000258302, -10.0143, -0.153876, -1.04975, 0.0239504, -0.0225524, -0.00659693, -0.506622, -4.91904, -24.8503, -2.70868, 
0.08, -1.41107, 0.0120957, 0.000239387, 7.70207e-05, 0.0120875, -0.00029416, 6.35268e-05, -0.000643092, -0.000272295, -10.0153, -0.16232, -1.0995, 0.0182272, -0.0226221, -0.00457434, -0.512295, -3.63213, -24.8759, -3.15082, 
0.082, -1.30861, 0.0123225, 0.000229223, 9.91276e-05, 0.012313, -0.000189571, 8.44662e-05, -0.000668117, -0.000282301, -10.0164, -0.168047, -1.14927, 0.0118682, -0.0226242, -0.00245612, -0.51756, -2.22005, -24.8764, -3.35054, 
0.084, -1.2163, 0.0125411, 0.000223302, 0.000113108, 0.0125304, -8.35828e-05, 9.67189e-05, -0.000691922, -0.000288252, -10.0174, -0.170927, -1.19904, 0.00536453, -0.0225048, -0.000414336, -0.522493, -0.793061, -24.8778, -3.29912, 
0.086, -1.1362, 0.0127518, 0.000219093, 0.000117035, 0.0127401, 9.05305e-06, 0.000102313, -0.000714251, -0.0002904, -10.0185, -0.171041, -1.24882, -0.000795512, -0.0222567, 0.00139977, -0.52715, 0.548076, -24.887, -3.00817, 
0.088, -1.07019, 0.012955, 0.000213405, 0.000109594, 0.0129425, 9.46258e-05, 9.53138e-05, -0.000734886, -0.000289276, -10.0195, -0.168658, -1.29862, -0.00616175, -0.0219249, 0.0028615, -0.531579, 1.71561, -24.8889, -2.50442, 
0.09, -1.01985, 0.0131509, 0.000191447, 8.47979e-05, 0.013138, 0.000169646, 7.52473e-05, -0.000753738, -0.000285642, -10.0206, -0.164212, -1.34837, -0.0103487, -0.021595, 0.00387032, -0.53583, 2.63323, -24.852, -1.82602, 
0.092, -0.986303, 0.01334, 0.000160147, 4.90272e-05, 0.013327, 0.000232021, 4.36356e-05, -0.000770909, -0.000280444, -10.0217, -0.158278, -1.39797, -0.0130577, -0.0213711, 0.00435138, -0.539949, 3.23605, -24.7368, -1.02183, 
0.094, -0.970185, 0.0135227, 0.000116511, 4.68368e-06, 0.0135099, 0.000281017, 2.96612e-06, -0.000786702, -0.000274757, -10.0228, -0.15154, -1.44721, -0.0140981, -0.0213484, 0.00426206, -0.54399, 3.47673, -24.5073, -0.151412, 
0.096, -0.971546, 0.0136995, 5.85549e-05, -4.45979e-05, 0.013687, 0.000316802, -4.2991e-05, -0.000801577, -0.000269709, -10.0238, -0.144745, -1.49586, -0.0134071, -0.0215855, 0.0036061, -0.548009, 3.33587, -24.1428, 0.716411, 
0.098, -0.989807, 0.0138707, -1.46225e-05, -9.47074e-05, 0.0138587, 0.00034027, -8.99368e-05, -0.000816051, -0.000266375, -10.0249, -0.138638, -1.54365, -0.0110625, -0.0220825, 0.00244515, -0.552061, 2.83318, -23.6469, 1.50922, 
0.1, -1.02374, 0.0140368, -0.000102725, -0.00014132, 0.0140254, 0.000352891, -0.000133312, -0.000830584, -0.000265663, -10.0261, -0.133877, -1.59033, -0.00728012, -0.0227746, 0.000899842, -0.556194, 2.03102, -23.0502, 2.16076, 
0.102, -1.07151, 0.0141981, -0.0002041, -0.00018014, 0.0141873, 0.000356439, -0.000168565, -0.000845455, -0.000268208, -10.0272, -0.130959, -1.63578, -0.00239057, -0.0235483, -0.000865389, -0.560441, 1.02511, -22.4035, 2.62188, 
0.104, -1.13084, 0.0143549, -0.000315124, -0.000207069, 0.0143447, 0.000352981, -0.000191359, -0.000860705, -0.00027431, -10.0283, -0.130171, -1.67993, 0.00320253, -0.0242764, -0.00267232, -0.564809, -0.0751363, -21.7627, 2.86833, 
0.106, -1.19928, 0.0145076, -0.000419582, -0.000213777, 0.0144979, 0.000357253, -0.000205183, -0.000876142, -0.000283937, -10.0294, -0.131588, -1.72285, 0.00907289, -0.0248556, -0.00436214, -0.569284, -1.16773, -21.1736, 2.90146, 
0.108, -1.27438, 0.0146565, -0.000524327, -0.000204788, 0.0146472, 0.000361221, -0.00020286, -0.000891417, -0.000296778, -10.0306, -0.135103, -1.76468, 0.0148166, -0.0252306, -0.00581515, -0.57384, -2.17219, -20.6615, 2.74231, 
0.11, -1.35389, 0.0148017, -0.000623819, -0.000180364, 0.0147929, 0.000368739, -0.000184613, -0.000906118, -0.000312322, -10.0317, -0.14047, -1.80556, 0.0200829, -0.0253954, -0.00695319, -0.578444, -3.03105, -20.2306, 2.42322, 
0.112, -1.43583, 0.0149436, -0.000713276, -0.000142328, 0.014935, 0.000384062, -0.000152267, -0.000919859, -0.00032993, -10.0329, -0.14735, -1.84564, 0.0245907, -0.02538, -0.0077322, -0.583065, -3.70533, -19.87, 1.98158, 
0.114, -1.51845, 0.0150824, -0.000789098, -9.36749e-05, 0.0150737, 0.000411158, -0.000108853, -0.000932327, -0.000348895, -10.0341, -0.15534, -1.88507, 0.0281352, -0.0252318, -0.00813469, -0.587676, -4.16907, -19.5607, 1.45699, 
0.116, -1.60017, 0.0152182, -0.000849032, -3.81123e-05, 0.0152092, 0.000452992, -5.81545e-05, -0.000943305, -0.00036849, -10.0352, -0.163999, -1.9239, 0.0305921, -0.0249968, -0.00816605, -0.592258, -4.40827, -19.2842, 0.890363, 
0.118, -1.67955, 0.0153512, -0.000892176, 2.03581e-05, 0.0153418, 0.000510981, -4.27382e-06, -0.000952653, -0.000388012, -10.0364, -0.172875, -1.96221, 0.031919, -0.0247056, -0.00785527, -0.596794, -4.42293, -19.0278, 0.32311, 
0.12, -1.75517, 0.0154813, -0.000918857, 7.77933e-05, 0.0154714, 0.000584662, 4.87212e-05, -0.000960265, -0.000406834, -10.0376, -0.181535, -2.00003, 0.0321543, -0.0243637, -0.00725668, -0.601275, -4.22968, -18.7892, -0.204947, 
0.122, -1.82557, 0.0156088, -0.000930493, 0.000130614, 0.0155983, 0.000671654, 9.71172e-05, -0.000966025, -0.00042445, -10.0388, -0.189601, -2.0374, 0.0314107, -0.0239511, -0.00644759, -0.605687, -3.86217, -18.5765, -0.659227, 
0.124, -1.88929, 0.0157337, -0.000929391, 0.000175825, 0.0157224, 0.000767915, 0.000137791, -0.000969757, -0.000440519, -10.0401, -0.196774, -2.07438, 0.0298609, -0.0234317, -0.0055198, -0.610014, -3.36668, -18.4045, -1.01431, 
0.126, -1.94484, 0.0158561, -0.000918373, 0.000210792, 0.015844, 0.000868277, 0.000168005, -0.000971216, -0.000454876, -10.0413, -0.202857, -2.11108, 0.0277169, -0.0227703, -0.004567, -0.614235, -2.79419, -18.2878, -1.25618, 
0.128, -1.99078, 0.0159759, -0.000900798, 0.000233404, 0.0159631, 0.000967182, 0.000185581, -0.000970103, -0.000467532, -10.0425, -0.207751, -2.14762, 0.0252081, -0.0219494, -0.00367276, -0.618325, -2.1931, -18.234, -1.38185, 
0.13, -2.02585, 0.0160931, -0.000880506, 0.000242431, 0.0160797, 0.00105945, 0.000189263, -0.000966111, -0.000478646, -10.0438, -0.21145, -2.1841, 0.0225612, -0.0209786, -0.00290438, -0.622256, -1.60581, -18.2393, -1.39667, 
0.132, -2.04893, 0.0162077, -0.000861557, 0.000237909, 0.0161938, 0.0011409, 0.000179091, -0.000958982, -0.000488496, -10.045, -0.214026, -2.22064, 0.0199867, -0.0198954, -0.00231375, -0.626004, -1.06964, -18.2885, -1.31154, 
