Time, rotorL_beta_b1, Inflow(0), Inflow(1), Inflow(2), Inflow(3), Inflow(4), Inflow(5), X_e(0), X_e(1), X_e(2), alpha(0), alpha(1), alpha(2), v_b(0), v_b(1), v_b(2), omega_b(0), omega_b(1), omega_b(2), 
5.502, -0.258558, 0.0154991, -0.00966464, -0.00985307, 0.0107867, -0.00648702, -0.00737399, 3.12912, 4.15886, -10.9252, 30.2865, 8.11398, -10.7345, -1.84702, 3.84905, -1.67021, 42.2077, 3.0904, 3.93969, 
5.504, -0.467984, 0.0154689, -0.00975613, -0.00993954, 0.0107577, -0.00639224, -0.0074544, 3.12721, 4.16771, -10.9237, 30.3733, 8.1157, -10.7237, -1.85038, 3.85623, -1.67653, 43.0392, 3.77833, 4.40053, 
5.506, -0.69759, 0.0154392, -0.00986553, -0.00999402, 0.0107292, -0.00625925, -0.00750386, 3.1253, 4.17658, -10.9222, 30.4617, 8.11805, -10.7113, -1.85381, 3.86312, -1.68301, 43.6242, 4.45316, 4.96125, 
5.508, -0.943031, 0.0154101, -0.00998346, -0.0100128, 0.0107009, -0.00609783, -0.00751892, 3.12339, 4.18546, -10.9206, 30.5513, 8.12093, -10.6973, -1.85724, 3.86974, -1.68965, 43.9379, 5.09161, 5.57382, 
5.51, -1.19927, 0.0153817, -0.0100997, -0.00999452, 0.0106727, -0.00591931, -0.00749832, 3.12147, 4.19436, -10.9191, 30.6414, 8.1242, -10.6815, -1.86057, 3.87613, -1.69642, 43.986, 5.66549, 6.1891, 
5.512, -1.46069, 0.0153541, -0.0102041, -0.00994046, 0.0106444, -0.00573623, -0.0074434, 3.11955, 4.20328, -10.9175, 30.7316, 8.12774, -10.6642, -1.86371, 3.88236, -1.70332, 43.7992, 6.13892, 6.76239, 
5.514, -1.72126, 0.0153272, -0.0102873, -0.00985518, 0.010616, -0.00556201, -0.00735862, 3.11762, 4.21221, -10.916, 30.8215, 8.1314, -10.6455, -1.86653, 3.88852, -1.71033, 43.4252, 6.47174, 7.25878, 
5.516, -1.97478, 0.0153009, -0.0103411, -0.0097452, 0.0105871, -0.00540947, -0.0072503, 3.11569, 4.22116, -10.9144, 30.9106, 8.13499, -10.6258, -1.8689, 3.89466, -1.7174, 42.9173, 6.62704, 7.65658, 
5.518, -2.21515, 0.0152751, -0.0103594, -0.00961949, 0.0105577, -0.00528968, -0.00712713, 3.11376, 4.23013, -10.9128, 30.9988, 8.1383, -10.6054, -1.87074, 3.90084, -1.72452, 42.3213, 6.58099, 7.9465, 
5.52, -2.43663, 0.0152495, -0.0103387, -0.00948851, 0.0105276, -0.00521166, -0.00699926, 3.11182, 4.23911, -10.9112, 31.0857, 8.14107, -10.5848, -1.872, 3.90706, -1.73161, 41.6692, 6.32988, 8.12652, 
5.522, -2.63407, 0.0152239, -0.0102787, -0.00936368, 0.0104968, -0.00518151, -0.00687769, 3.10989, 4.24811, -10.9096, 31.1712, 8.14309, -10.5643, -1.8727, 3.91333, -1.73864, 40.9829, 5.89161, 8.19549, 
5.524, -2.80305, 0.0151981, -0.0101823, -0.00925625, 0.0104654, -0.00520181, -0.00677327, 3.10795, 4.25712, -10.908, 31.2553, 8.1442, -10.5443, -1.8729, 3.91963, -1.74555, 40.283, 5.30423, 8.14843, 
5.526, -2.94005, 0.0151718, -0.0100556, -0.00917639, 0.0104334, -0.00527134, -0.00669575, 3.10601, 4.26615, -10.9064, 31.3379, 8.1443, -10.5251, -1.87273, 3.92597, -1.75227, 39.6031, 4.62193, 7.97718, 
5.528, -3.04242, 0.015145, -0.00990819, -0.00913194, 0.0104011, -0.00538497, -0.00665262, 3.10408, 4.27519, -10.9048, 31.4191, 8.14344, -10.5072, -1.87235, 3.93239, -1.75879, 38.9978, 3.91182, 7.67537, 
5.53, -3.1084, 0.0151174, -0.00975101, -0.00912787, 0.0103684, -0.00553383, -0.00664855, 3.10215, 4.28424, -10.9032, 31.499, 8.14176, -10.4905, -1.87197, 3.93895, -1.76508, 38.5403, 3.24958, 7.24583, 
5.532, -3.13711, 0.015089, -0.00959606, -0.0091656, 0.0103357, -0.00570575, -0.00668476, 3.10022, 4.29332, -10.9016, 31.578, 8.13954, -10.4754, -1.87179, 3.94573, -1.77115, 38.3117, 2.71149, 6.70815, 
5.534, -3.12843, 0.0150598, -0.00945502, -0.00924307, 0.010303, -0.00588597, -0.00675912, 3.09829, 4.30241, -10.8999, 31.6566, 8.13715, -10.4617, -1.87201, 3.95279, -1.77707, 38.3815, 2.36201, 6.10315, 
5.536, -3.08289, 0.0150297, -0.00933896, -0.00935423, 0.0102704, -0.00605814, -0.00686564, 3.09636, 4.31151, -10.8983, 31.7355, 8.13497, -10.4492, -1.87276, 3.96016, -1.78289, 38.7842, 2.24014, 5.49099, 
5.538, -3.00148, 0.014999, -0.00925669, -0.00948976, 0.0102381, -0.00620646, -0.0069952, 3.09443, 4.32063, -10.8966, 31.8154, 8.13338, -10.4378, -1.87409, 3.96781, -1.78872, 39.5032, 2.3498, 4.94177, 
5.54, -2.8856, 0.0149677, -0.00921376, -0.00963825, 0.0102061, -0.00631643, -0.0071367, 3.09251, 4.32977, -10.895, 31.8969, 8.13264, -10.4271, -1.87597, 3.97565, -1.79464, 40.4689, 2.66108, 4.52091, 
5.542, -2.737, 0.0149362, -0.00921198, -0.00978749, 0.0101745, -0.00637795, -0.00727836, 3.09058, 4.33892, -10.8933, 31.9805, 8.1329, -10.4164, -1.87829, 3.98354, -1.80071, 41.5753, 3.12213, 4.27495, 
5.544, -2.55791, 0.0149047, -0.00924961, -0.00992551, 0.0101433, -0.00638574, -0.00740866, 3.08865, 4.3481, -10.8916, 32.0663, 8.13415, -10.4055, -1.88095, 3.99137, -1.80697, 42.7053, 3.67641, 4.22404, 
5.546, -2.35117, 0.0148734, -0.00932166, -0.0100418, 0.0101125, -0.0063395, -0.00751761, 3.08672, 4.35729, -10.8899, 32.1544, 8.13632, -10.3939, -1.88383, 3.99902, -1.81342, 43.7528, 4.27542, 4.36272, 
5.548, -2.12037, 0.0148424, -0.00942075, -0.0101286, 0.0100823, -0.00624299, -0.0075978, 3.08478, 4.3665, -10.8882, 32.2446, 8.13926, -10.3812, -1.88686, 4.00644, -1.82005, 44.6363, 4.88274, 4.66585, 
5.55, -1.86991, 0.0148119, -0.00953774, -0.0101798, 0.0100526, -0.00610471, -0.00764346, 3.08284, 4.37573, -10.8865, 32.3365, 8.1428, -10.3673, -1.88996, 4.01362, -1.82686, 45.3015, 5.47031, 5.09512, 
5.552, -1.60499, 0.0147822, -0.0096623, -0.0101917, 0.0100232, -0.00593525, -0.00765132, 3.0809, 4.38497, -10.8847, 32.4297, 8.14677, -10.352, -1.89305, 4.02055, -1.83382, 45.7232, 6.01229, 5.60525, 
5.554, -1.33147, 0.0147532, -0.00978342, -0.0101635, 0.00999377, -0.0057476, -0.00762063, 3.07895, 4.39424, -10.883, 32.5237, 8.15099, -10.3352, -1.89604, 4.02728, -1.84094, 45.9049, 6.47944, 6.14974, 
5.556, -1.0557, 0.0147251, -0.00989015, -0.0100972, 0.00996429, -0.00555551, -0.0075534, 3.077, 4.40352, -10.8812, 32.618, 8.1553, -10.317, -1.89882, 4.03389, -1.84819, 45.8738, 6.83769, 6.68624, 
5.558, -0.784277, 0.0146977, -0.00997275, -0.00999813, 0.00993457, -0.005373, -0.00745485, 3.07505, 4.41281, -10.8795, 32.7123, 8.15951, -10.2976, -1.90125, 4.04042, -1.85556, 45.6709, 7.05152, 7.18108, 
5.56, -0.523775, 0.0146709, -0.0100228, -0.00987385, 0.00990438, -0.00521337, -0.0073324, 3.07309, 4.42212, -10.8777, 32.8062, 8.1634, -10.2773, -1.90324, 4.04695, -1.86301, 45.3419, 7.09147, 7.61193, 
5.562, -0.280445, 0.0146445, -0.0100345, -0.00973436, 0.00987352, -0.00508852, -0.00719574, 3.07113, 4.43145, -10.8759, 32.8995, 8.16674, -10.2564, -1.90471, 4.0535, -1.87051, 44.9257, 6.94252, 7.96642, 
5.564, -0.0599511, 0.0146183, -0.0100045, -0.00959107, 0.00984192, -0.00500776, -0.00705589, 3.06917, 4.4408, -10.8741, 32.9919, 8.1693, -10.2353, -1.90562, 4.06009, -1.878, 44.4504, 6.60952, 8.2372, 
5.566, 0.132838, 0.014592, -0.00993309, -0.00945621, 0.00980962, -0.0049773, -0.00692465, 3.06721, 4.45016, -10.8723, 33.0832, 8.17089, -10.2141, -1.90601, 4.0667, -1.88544, 43.9396, 6.11802, 8.4167, 
5.568, 0.293994, 0.0145653, -0.00982402, -0.00934167, 0.00977664, -0.00499956, -0.00681348, 3.06525, 4.45954, -10.8705, 33.1735, 8.17139, -10.1934, -1.90596, 4.07335, -1.89278, 43.4197, 5.51229, 8.49414, 
5.57, 0.420555, 0.0145381, -0.00968432, -0.00925795, 0.0097431, -0.00507298, -0.00673246, 3.06329, 4.46893, -10.8687, 33.2628, 8.17077, -10.1733, -1.90561, 4.08006, -1.89996, 42.9333, 4.85166, 8.45781, 
5.572, 0.510525, 0.0145101, -0.00952434, -0.00921305, 0.00970911, -0.00519186, -0.00668919, 3.06134, 4.47834, -10.8668, 33.351, 8.16914, -10.1542, -1.90513, 4.08685, -1.90696, 42.5434, 4.20699, 8.30086, 
5.574, 0.562851, 0.0144813, -0.00935581, -0.00921177, 0.00967481, -0.00534657, -0.00668816, 3.05938, 4.48776, -10.865, 33.4384, 8.16672, -10.136, -1.90471, 4.09382, -1.91379, 42.3279, 3.65527, 8.02888, 
5.576, 0.577322, 0.0144515, -0.00919089, -0.00925557, 0.00964044, -0.00552389, -0.00673066, 3.05743, 4.4972, -10.8631, 33.5255, 8.16383, -10.1189, -1.90458, 4.10103, -1.92046, 42.3656, 3.26993, 7.66663, 
5.578, 0.554473, 0.0144206, -0.00904267, -0.00934135, 0.00960612, -0.0057077, -0.00681352, 3.05548, 4.50666, -10.8613, 33.6129, 8.16089, -10.1028, -1.9049, 4.10853, -1.92704, 42.7143, 3.10766, 7.2605, 
5.58, 0.495345, 0.0143889, -0.00892285, -0.00946192, 0.00957199, -0.00588082, -0.00692964, 3.05352, 4.51614, -10.8594, 33.7012, 8.15831, -10.0874, -1.90578, 4.11633, -1.93361, 43.3895, 3.19496, 6.87414, 
5.582, 0.4013, 0.0143564, -0.00884008, -0.00960731, 0.00953812, -0.00602645, -0.00706927, 3.05157, 4.52563, -10.8575, 33.7911, 8.15642, -10.0723, -1.90722, 4.12437, -1.94027, 44.3507, 3.52152, 6.57667, 
5.584, 0.273955, 0.0143234, -0.00879961, -0.0097655, 0.00950459, -0.00613038, -0.00722074, 3.04962, 4.53514, -10.8556, 33.8831, 8.15546, -10.0572, -1.90916, 4.13252, -1.94709, 45.5073, 4.04534, 6.42698, 
5.586, 0.11519, 0.01429, -0.00880295, -0.0099237, 0.00947158, -0.00618207, -0.00737173, 3.04767, 4.54467, -10.8537, 33.9776, 8.15553, -10.0414, -1.91148, 4.14064, -1.95412, 46.7389, 4.70784, 6.46073, 
5.588, -0.0727463, 0.0142566, -0.00884789, -0.0100696, 0.00943907, -0.0061765, -0.00751036, 3.04571, 4.55422, -10.8518, 34.0746, 8.1566, -10.0247, -1.91407, 4.14862, -1.96138, 47.9226, 5.45119, 6.68529, 
5.59, -0.287063, 0.0142233, -0.00892905, -0.0101917, 0.00940707, -0.00611422, -0.00762575, 3.04375, 4.56378, -10.8499, 34.174, 8.15854, -10.0065, -1.91683, 4.15635, -1.96886, 48.9535, 6.22899, 7.08274, 
5.592, -0.524304, 0.0141907, -0.00903822, -0.0102806, 0.00937584, -0.00600015, -0.00770893, 3.04179, 4.57337, -10.8479, 34.2756, 8.16122, -9.98674, -1.91967, 4.1638, -1.97654, 49.756, 7.00731, 7.61691, 
5.594, -0.780277, 0.0141587, -0.00916549, -0.0103308, 0.0093452, -0.00584216, -0.00775468, 3.03983, 4.58297, -10.8459, 34.3787, 8.16447, -9.9651, -1.92254, 4.17095, -1.98441, 50.2852, 7.75857, 8.24051, 
5.596, -1.04997, 0.0141275, -0.00929968, -0.0103387, 0.00931494, -0.00565197, -0.0077596, 3.03785, 4.59259, -10.844, 34.4828, 8.16815, -9.94156, -1.92534, 4.17783, -1.99244, 50.5288, 8.45436, 8.90131, 
5.598, -1.3277, 0.0140972, -0.00942882, -0.0103032, 0.00928486, -0.00544396, -0.00772296, 3.03588, 4.60223, -10.842, 34.5875, 8.17212, -9.91617, -1.92797, 4.18451, -2.00062, 50.5048, 9.05991, 9.54852, 
5.6, -1.60724, 0.0140678, -0.00954105, -0.0102269, 0.00925467, -0.00523306, -0.0076471, 3.0339, 4.61188, -10.84, 34.6921, 8.17622, -9.88913, -1.93031, 4.19107, -2.00893, 50.2555, 9.53392, 10.1388, 
5.602, -1.88204, 0.0140392, -0.00962555, -0.0101153, 0.00922414, -0.00503426, -0.0075376, 3.03191, 4.62155, -10.838, 34.7962, 8.1803, -9.86073, -1.93221, 4.19758, -2.01735, 49.8346, 9.83397, 10.6412, 
5.604, -2.1455, 0.0140113, -0.00967342, -0.00997722, 0.00919312, -0.00486226, -0.00740295, 3.02993, 4.63124, -10.836, 34.8995, 8.18412, -9.83135, -1.93357, 4.20411, -2.02584, 49.2955, 9.92634, 11.0387, 
5.606, -2.39128, 0.0139837, -0.00967853, -0.00982382, 0.0091614, -0.00472999, -0.00725396, 3.02794, 4.64095, -10.8339, 35.0018, 8.18748, -9.80141, -1.93431, 4.21068, -2.03435, 48.6787, 9.79502, 11.3255, 
5.608, -2.61352, 0.0139562, -0.00963753, -0.00966774, 0.00912891, -0.00464739, -0.00710286, 3.02594, 4.65067, -10.8319, 35.1027, 8.19012, -9.77137, -1.93442, 4.2173, -2.04283, 48.0094, 9.44696, 11.5001, 
5.61, -2.8071, 0.0139285, -0.00955134, -0.0095225, 0.00909562, -0.00462092, -0.00696268, 3.02395, 4.6604, -10.8299, 35.2023, 8.19185, -9.74164, -1.93394, 4.22395, -2.05122, 47.3063, 8.9117, 11.559, 
5.612, -2.96774, 0.0139005, -0.00942455, -0.00940109, 0.00906157, -0.00465299, -0.00684594, 3.02196, 4.67016, -10.8278, 35.3003, 8.19255, -9.71262, -1.93297, 4.23062, -2.05945, 46.593, 8.23814, 11.4934, 
5.614, -3.09212, 0.0138718, -0.00926564, -0.00931477, 0.00902684, -0.0047416, -0.00676339, 3.01997, 4.67993, -10.8257, 35.3968, 8.1922, -9.68465, -1.93167, 4.23733, -2.06747, 45.9125, 7.49061, 11.2924, 
5.616, -3.1779, 0.0138424, -0.00908612, -0.00927189, 0.00899161, -0.00488027, -0.00672299, 3.01798, 4.68971, -10.8237, 35.4918, 8.1909, -9.65801, -1.93022, 4.24413, -2.07526, 45.3312, 6.74584, 10.9499, 
5.618, -3.2237, 0.0138118, -0.00889834, -0.0092776, 0.00895605, -0.00505815, -0.00672955, 3.016, 4.69951, -10.8216, 35.5857, 8.18889, -9.63286, -1.92887, 4.2511, -2.08281, 44.9334, 6.08726, 10.473, 
5.62, -3.22904, 0.0137802, -0.00871727, -0.00933211, 0.00892033, -0.0052606, -0.00678309, 3.01402, 4.70933, -10.8195, 35.6788, 8.18652, -9.60926, -1.92784, 4.25831, -2.09014, 44.8058, 5.59495, 9.8894, 
5.622, -3.19425, 0.0137477, -0.00855693, -0.00943122, 0.00888456, -0.00546989, -0.00687938, 3.01204, 4.71916, -10.8174, 35.7718, 8.18422, -9.58712, -1.92731, 4.26585, -2.09732, 45.0141, 5.33086, 9.25066, 
5.624, -3.12027, 0.0137144, -0.00842922, -0.00956686, 0.00884893, -0.00566715, -0.00701045, 3.01006, 4.72901, -10.8152, 35.8653, 8.1824, -9.56617, -1.92741, 4.2737, -2.10444, 45.5787, 5.32466, 8.62701, 
5.626, -3.00853, 0.0136804, -0.0083431, -0.00972762, 0.00881358, -0.00583325, -0.00716515, 3.00808, 4.73888, -10.8131, 35.9602, 8.18141, -9.54604, -1.92815, 4.28181, -2.11161, 46.4615, 5.56673, 8.09472, 
5.628, -2.86087, 0.013646, -0.00830372, -0.0099, 0.00877865, -0.00595318, -0.00733042, 3.00611, 4.74876, -10.8109, 36.0571, 8.18148, -9.52623, -1.92946, 4.29007, -2.11891, 47.5715, 6.01351, 7.71922, 
5.63, -2.67955, 0.0136113, -0.00831201, -0.0100699, 0.00874417, -0.00601606, -0.00749266, 3.00413, 4.75867, -10.8088, 36.1563, 8.18268, -9.50626, -1.93121, 4.29833, -2.12641, 48.7865, 6.60368, 7.54159, 
5.632, -2.46738, 0.0135767, -0.00836494, -0.010224, 0.00871026, -0.00601599, -0.00763905, 3.00214, 4.76859, -10.8066, 36.258, 8.18495, -9.48566, -1.93327, 4.30647, -2.13412, 49.9825, 7.27622, 7.57361, 
5.634, -2.2279, 0.0135425, -0.00845601, -0.0103503, 0.00867705, -0.00595438, -0.00775819, 3.00016, 4.77853, -10.8044, 36.3621, 8.18814, -9.46401, -1.93553, 4.31439, -2.14205, 51.0541, 7.98123, 7.80093, 
5.636, -1.96544, 0.0135089, -0.0085759, -0.0104393, 0.00864442, -0.00583685, -0.00784103, 2.99817, 4.78849, -10.8022, 36.4684, 8.19206, -9.44102, -1.9379, 4.32205, -2.15018, 51.9243, 8.68108, 8.19031, 
5.638, -1.68523, 0.0134762, -0.00871311, -0.0104839, 0.00861239, -0.00567138, -0.00788088, 2.99618, 4.79847, -10.8, 36.5763, 8.19649, -9.41647, -1.94029, 4.32945, -2.1585, 52.5479, 9.34535, 8.69715, 
5.64, -1.39327, 0.0134446, -0.00885557, -0.0104819, 0.00858087, -0.0054713, -0.00787593, 2.99419, 4.80846, -10.7977, 36.6855, 8.20125, -9.39027, -1.9426, 4.33661, -2.167, 52.9116, 9.94346, 9.27187, 
5.642, -1.09622, 0.0134138, -0.00899027, -0.0104332, 0.00854957, -0.00525169, -0.00782599, 2.99219, 4.81848, -10.7955, 36.7954, 8.20614, -9.36246, -1.94472, 4.34358, -2.17565, 53.0309, 10.4407, 9.86598, 
5.644, -0.801114, 0.013384, -0.0091046, -0.0103409, 0.00851816, -0.0050289, -0.00773444, 2.99019, 4.82851, -10.7932, 36.9056, 8.21096, -9.33317, -1.94653, 4.35045, -2.18446, 52.9425, 10.7986, 10.4379, 
5.646, -0.515092, 0.013355, -0.00918727, -0.0102121, 0.00848643, -0.00481946, -0.00760799, 2.98818, 4.83856, -10.791, 37.0156, 8.21549, -9.30267, -1.94789, 4.35728, -2.19338, 52.6938, 10.9808, 10.957, 
5.648, -0.245103, 0.0133267, -0.00922937, -0.0100566, 0.00845413, -0.00463872, -0.00745642, 2.98617, 4.84862, -10.7887, 37.1251, 8.21952, -9.27128, -1.94871, 4.36412, -2.20238, 52.33, 10.9618, 11.4047, 
5.65, 0.00240026, 0.0132986, -0.00922507, -0.00988709, 0.00842111, -0.00450012, -0.0072918, 2.98416, 4.8587, -10.7864, 37.2339, 8.2228, -9.23937, -1.94892, 4.37099, -2.21142, 51.8857, 10.7347, 11.7707, 
5.652, 0.221736, 0.0132705, -0.00917109, -0.00971709, 0.00838722, -0.00441422, -0.00712734, 2.98215, 4.8688, -10.7841, 37.3417, 8.22512, -9.20734, -1.94853, 4.37789, -2.22043, 51.3846, 10.3146, 12.0472, 
5.654, 0.408219, 0.0132421, -0.00906991, -0.0095613, 0.00835246, -0.00438766, -0.00697717, 2.98014, 4.87892, -10.7817, 37.4485, 8.22631, -9.17556, -1.9476, 4.38481, -2.22938, 50.8487, 9.73854, 12.2238, 
5.656, 0.558188, 0.0132133, -0.00892689, -0.0094333, 0.00831691, -0.00442272, -0.00685436, 2.97813, 4.88905, -10.7794, 37.5541, 8.22631, -9.14435, -1.94623, 4.39174, -2.23818, 50.3101, 9.06121, 12.2863, 
5.658, 0.66906, 0.0131836, -0.00875153, -0.0093447, 0.00828065, -0.00451701, -0.00677002, 2.97613, 4.89919, -10.777, 37.6586, 8.22515, -9.11399, -1.9446, 4.39873, -2.24682, 49.8224, 8.35205, 12.2213, 
5.66, 0.739329, 0.0131528, -0.00855562, -0.00930419, 0.00824384, -0.00466332, -0.00673242, 2.97412, 4.90936, -10.7747, 37.7621, 8.22301, -9.0847, -1.94291, 4.40583, -2.25526, 49.4603, 7.69136, 12.0236, 
5.662, 0.768545, 0.0131209, -0.00835437, -0.00931598, 0.00820665, -0.00484983, -0.00674541, 2.97212, 4.91954, -10.7723, 37.8649, 8.2202, -9.05656, -1.94139, 4.41312, -2.2635, 49.311, 7.16321, 11.7042, 
5.664, 0.757071, 0.0130879, -0.00816298, -0.00937977, 0.00816926, -0.00506044, -0.00680853, 2.97012, 4.92974, -10.7699, 37.9675, 8.21711, -9.02952, -1.94026, 4.42069, -2.2716, 49.457, 6.84319, 11.2974, 
5.666, 0.705951, 0.0130539, -0.00799593, -0.00949061, 0.00813188, -0.00527618, -0.00691679, 2.96812, 4.93995, -10.7675, 38.0707, 8.2142, -9.00341, -1.93968, 4.42857, -2.27963, 49.9497, 6.78349, 10.8608, 
5.668, 0.616725, 0.0130189, -0.00786546, -0.00963938, 0.00809458, -0.00547655, -0.00706123, 2.96613, 4.95018, -10.7651, 38.175, 8.21188, -8.97786, -1.93973, 4.43675, -2.28769, 50.7877, 6.99985, 10.4677, 
5.67, 0.491254, 0.0129832, -0.00778059, -0.00981356, 0.00805751, -0.00564253, -0.00722965, 2.96413, 4.96043, -10.7627, 38.2814, 8.21046, -8.95241, -1.94039, 4.44514, -2.29588, 51.9084, 7.46794, 10.192, 
5.672, 0.331636, 0.012947, -0.00774627, -0.0099985, 0.00802098, -0.00575783, -0.00740782, 2.96213, 4.9707, -10.7602, 38.3902, 8.21011, -8.92656, -1.94156, 4.4536, -2.30428, 53.2002, 8.13299, 10.0914, 
5.674, 0.140246, 0.0129106, -0.00776294, -0.0101791, 0.00798504, -0.00581147, -0.00758118, 2.96013, 4.98099, -10.7578, 38.5017, 8.21086, -8.89979, -1.9431, 4.46197, -2.31292, 54.5282, 8.92826, 10.1951, 
5.676, -0.0801202, 0.0128742, -0.00782682, -0.0103412, 0.00794983, -0.00579858, -0.00773622, 2.95813, 4.99129, -10.7553, 38.616, 8.2126, -8.87165, -1.94487, 4.47014, -2.32182, 55.7644, 9.7926, 10.5019, 
5.678, -0.326059, 0.0128382, -0.00793056, -0.0104723, 0.00791559, -0.00572051, -0.00786091, 2.95612, 5.00162, -10.7528, 38.7329, 8.21515, -8.84177, -1.94678, 4.47802, -2.33097, 56.8062, 10.6786, 10.985, 
5.68, -0.593429, 0.0128029, -0.0080639, -0.0105625, 0.007882, -0.00558288, -0.00794586, 2.95411, 5.01196, -10.7503, 38.8518, 8.21833, -8.80992, -1.94873, 4.48559, -2.34033, 57.5834, 11.5509, 11.6008, 
5.682, -0.877294, 0.0127687, -0.00821441, -0.0106046, 0.00784911, -0.00539591, -0.00798441, 2.9521, 5.02233, -10.7478, 38.9723, 8.22194, -8.77594, -1.95063, 4.49285, -2.34989, 58.0615, 12.3788, 12.296, 
5.684, -1.17197, 0.0127357, -0.00836821, -0.0105951, 0.00781677, -0.00517292, -0.00797321, 2.95008, 5.03271, -10.7452, 39.0938, 8.22581, -8.73985, -1.95239, 4.49985, -2.35963, 58.2403, 13.1284, 13.0145, 
5.686, -1.47116, 0.0127038, -0.00851152, -0.010535, 0.00778476, -0.00493054, -0.00791339, 2.94806, 5.0431, -10.7427, 39.2156, 8.22979, -8.70176, -1.95389, 4.50667, -2.36952, 58.1501, 13.7592, 13.7043, 
5.688, -1.76802, 0.0126729, -0.00863058, -0.0104282, 0.00775274, -0.00468662, -0.00780891, 2.94603, 5.05352, -10.7401, 39.3373, 8.23371, -8.66193, -1.95497, 4.51339, -2.37956, 57.8421, 14.2254, 14.3237, 
5.69, -2.05551, 0.0126428, -0.00871341, -0.0102829, 0.00772035, -0.00445903, -0.0076676, 2.94399, 5.06395, -10.7375, 39.4584, 8.23738, -8.62075, -1.95552, 4.5201, -2.38969, 57.3747, 14.4849, 14.8452, 
5.692, -2.32666, 0.0126133, -0.00875038, -0.0101101, 0.0076873, -0.00426464, -0.00750038, 2.94196, 5.0744, -10.7349, 39.5786, 8.24059, -8.57864, -1.95541, 4.52684, -2.39989, 56.7988, 14.5089, 15.2557, 
5.694, -2.57493, 0.0125842, -0.00873545, -0.00992381, 0.00765348, -0.00411812, -0.00732075, 2.93992, 5.08486, -10.7323, 39.6977, 8.24312, -8.53611, -1.95461, 4.53362, -2.41009, 56.1497, 14.2907, 15.5509, 
5.696, -2.79442, 0.0125549, -0.00866606, -0.00973946, 0.00761874, -0.00403076, -0.00714356, 2.93788, 5.09534, -10.7296, 39.8154, 8.24475, -8.49363, -1.95312, 4.54044, -2.42024, 55.447, 13.8485, 15.7277, 
5.698, -2.98008, 0.0125253, -0.0085455, -0.00957303, 0.00758301, -0.00400956, -0.00698426, 2.93585, 5.10584, -10.727, 39.9316, 8.24533, -8.45166, -1.95102, 4.54727, -2.43027, 54.7097, 13.2233, 15.7788, 
5.7, -3.12782, 0.0124951, -0.00838016, -0.00943925, 0.00754636, -0.00405676, -0.006857, 2.93381, 5.11636, -10.7244, 40.0461, 8.24479, -8.41061, -1.94846, 4.5541, -2.44011, 53.9687, 12.475, 15.6914, 
5.702, -3.23466, 0.0124638, -0.00818067, -0.00935061, 0.00750892, -0.00416944, -0.00677372, 2.93178, 5.12689, -10.7217, 40.1591, 8.24321, -8.37082, -1.94561, 4.56098, -2.44972, 53.2798, 11.6785, 15.4529, 
5.704, -3.29861, 0.0124314, -0.00796233, -0.00931547, 0.00747087, -0.00433937, -0.00674234, 2.92975, 5.13744, -10.719, 40.2706, 8.24076, -8.33253, -1.94271, 4.56797, -2.45907, 52.7227, 10.9207, 15.0591, 
5.706, -3.31877, 0.0123979, -0.00774109, -0.00933778, 0.00743242, -0.00455319, -0.00676647, 2.92772, 5.148, -10.7163, 40.3809, 8.23779, -8.29587, -1.94001, 4.57516, -2.46815, 52.3934, 10.2922, 14.5235, 
5.708, -3.29516, 0.0123632, -0.00753336, -0.0094165, 0.00739374, -0.004793, -0.00684488, 2.9257, 5.15858, -10.7136, 40.4907, 8.23472, -8.26081, -1.93775, 4.58264, -2.47702, 52.3827, 9.87485, 13.885, 
5.71, -3.22865, 0.0123275, -0.00735466, -0.00954541, 0.00735497, -0.00503775, -0.00697136, 2.92367, 5.16918, -10.7109, 40.6007, 8.232, -8.22713, -1.93611, 4.59047, -2.48577, 52.7488, 9.72531, 13.2075, 
5.712, -3.12069, 0.0122908, -0.00721798, -0.00971375, 0.00731621, -0.0052649, -0.00713534, 2.92165, 5.17979, -10.7081, 40.7116, 8.23006, -8.19448, -1.93518, 4.59863, -2.49451, 53.4938, 9.86109, 12.5719, 
5.714, -2.97327, 0.0122535, -0.00713262, -0.00990703, 0.00727773, -0.00545359, -0.00732267, 2.91963, 5.19042, -10.7054, 40.8243, 8.22921, -8.16235, -1.93494, 4.60702, -2.50333, 54.5553, 10.257, 12.0599, 
5.716, -2.78876, 0.0122158, -0.00710311, -0.0101088, 0.00723967, -0.00558657, -0.00751741, 2.91761, 5.20107, -10.7026, 40.9392, 8.2296, -8.13021, -1.93527, 4.6155, -2.51234, 55.8194, 10.8555, 11.7354, 
5.718, -2.57003, 0.0121781, -0.007129, -0.0103024, 0.00720216, -0.00565165, -0.00770351, 2.91559, 5.21174, -10.6998, 41.0569, 8.23121, -8.09752, -1.93602, 4.62393, -2.52158, 57.1496, 11.5868, 11.6327, 
5.72, -2.3206, 0.0121406, -0.00720524, -0.0104726, 0.00716555, -0.00564451, -0.00786636, 2.91357, 5.22242, -10.697, 41.1773, 8.23389, -8.06378, -1.93705, 4.63217, -2.53106, 58.4159, 12.386, 11.7545, 
